status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,B-001,rAWBMZ4BFOP5uam1qod7,Y,Y,080f48a88c21c156,af8e1ac153c24bbd,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,B-002,rQWBMZ4BFOP5uam1qod7,Y,Y,dfe165b49277fc9e,d9009439ff03214c,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,B-003,rgWBMZ4BFOP5uam1qod7,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,B-004,rwWBMZ4BFOP5uam1qod7,Y,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,B-005,sAWBMZ4BFOP5uam1qod7,Y,Y,efe7f86a61bae788,1ada171ca12369b1,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,B-006,sQWBMZ4BFOP5uam1qod7,Y,Y,4c33b64ed093fee8,ceff37513c708793,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,B-007,sgWBMZ4BFOP5uam1qod7,Y,Y,68e36b6ce8d9d388,63e4eb05e078bc7b,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,B-008,swWBMZ4BFOP5uam1qod7,Y,Y,252d249a0f04f361,feaaa58866fa9a2e,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,B-009,tAWBMZ4BFOP5uam1qod7,Y,Y,edaab19b67dfe919,597504101cfc5cdb,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,B-010,tQWBMZ4BFOP5uam1qod7,Y,Y,0b0462e33bd2c67a,abbae577877e344f,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,,False,False
