status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,sequence_similarity,high,0.9773,0,0,C-001,0hvOKp4BfLc99Jc43qd8,Y,Y,dea77926650734ca,e98e7c9ed3d1263f,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9608,1,1,C-002,0xvOKp4BfLc99Jc43qd8,Y,Y,ce43e6f5fba89293,eddf075c4da63eb4,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9775,2,2,C-003,1BvOKp4BfLc99Jc43qd8,Y,Y,4a19217080b7cbf7,d3ab079ed1f3b6cc,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9785,3,3,C-004,1RvOKp4BfLc99Jc43qd8,Y,Y,2011ec2364d81def,c96ff117eaf2b7ab,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.96,4,4,C-005,1hvOKp4BfLc99Jc43qd8,Y,Y,46e71097839b4cad,a9c16c88cec28138,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9817,5,5,C-006,1xvOKp4BfLc99Jc43qd8,Y,Y,e8ae7d8fbae9fe26,9b27c88ac6da1e93,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.977,6,6,C-007,2BvOKp4BfLc99Jc43qd8,Y,Y,1bd02e66dd01ae4f,75b4989523bd7fba,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.982,7,7,C-008,2RvOKp4BfLc99Jc43qd8,Y,Y,055587e68e066c60,237ea772fece1844,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9697,8,8,C-009,2hvOKp4BfLc99Jc43qd8,Y,Y,fb655c2be79f1d75,8c757b7aa9268a94,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.974,9,9,C-010,2xvOKp4BfLc99Jc43qd8,Y,Y,95e812a70023f912,c784cdfe77cd128b,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9756,10,10,C-011,3BvOKp4BfLc99Jc43qd8,Y,Y,70aa8dd2fb49c0d8,83aaca72d43db584,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9785,11,11,C-012,3RvOKp4BfLc99Jc43qd8,Y,Y,c24f000c3fcbccef,9887247792e5ca8e,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9941,12,12,C-013,3hvOKp4BfLc99Jc43qd8,Y,Y,a7693a19533b51da,e2aca4ce7df111e9,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9898,13,13,C-014,3xvOKp4BfLc99Jc43qd8,Y,Y,469451da0180fde2,2570bc12d7e4b64b,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9933,14,14,C-015,4BvOKp4BfLc99Jc43qd8,Y,Y,b1c9aa4a0706ab61,df786b43c9f579c9,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,alignment_text_fingerprint,high,,15,15,C-016,4RvOKp4BfLc99Jc43qd8,Y,Y,fa60385127d08061,2f826531bf41c1b7,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,False,False
MATCHED,sequence_similarity,high,0.9701,16,16,C-017,4hvOKp4BfLc99Jc43qd8,Y,Y,40f6de61d5f5d016,d99cc7cf486e204b,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9701,17,17,C-018,4xvOKp4BfLc99Jc43qd8,Y,Y,9a0178a95f0390f0,30b330292d0f55c6,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.981,18,18,C-019,5BvOKp4BfLc99Jc43qd8,Y,Y,c16199ab41b7b9be,3a9ef2476adacf85,12,6,-6,bpt;bpt;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9808,19,19,C-020,5RvOKp4BfLc99Jc43qd8,Y,Y,da8189f8e736ca9e,a9678998895a436d,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9815,20,20,C-021,5hvOKp4BfLc99Jc43qd8,Y,Y,cb8bdc0af8cceeff,4d0659524ee824ed,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.9643,21,21,C-022,5xvOKp4BfLc99Jc43qd8,Y,Y,4f5e71510b2d9de2,b15b1535775e13ad,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
MATCHED,sequence_similarity,high,0.963,22,22,C-023,6BvOKp4BfLc99Jc43qd8,Y,Y,bc4c3542d6af6c0f,8e50edfbcef92e2f,16,10,-6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,x-source;x-tag-complexity;x-tmx-group,,True,False
