status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,0hvOKp4BfLc99Jc43qd8,2wTQKp4BFOP5uam1cx9T,Y,,e98e7c9ed3d1263f,e98e7c9ed3d1263f,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,0xvOKp4BfLc99Jc43qd8,3ATQKp4BFOP5uam1cx9T,Y,,eddf075c4da63eb4,eddf075c4da63eb4,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,1BvOKp4BfLc99Jc43qd8,3QTQKp4BFOP5uam1cx9T,Y,,d3ab079ed1f3b6cc,d3ab079ed1f3b6cc,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,1RvOKp4BfLc99Jc43qd8,3gTQKp4BFOP5uam1cx9T,Y,,c96ff117eaf2b7ab,c96ff117eaf2b7ab,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,1hvOKp4BfLc99Jc43qd8,3wTQKp4BFOP5uam1cx9T,Y,,a9c16c88cec28138,a9c16c88cec28138,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,1xvOKp4BfLc99Jc43qd8,4ATQKp4BFOP5uam1cx9T,Y,,9b27c88ac6da1e93,9b27c88ac6da1e93,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,2BvOKp4BfLc99Jc43qd8,4QTQKp4BFOP5uam1cx9T,Y,,75b4989523bd7fba,75b4989523bd7fba,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,2RvOKp4BfLc99Jc43qd8,4gTQKp4BFOP5uam1cx9T,Y,,237ea772fece1844,237ea772fece1844,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,2hvOKp4BfLc99Jc43qd8,4wTQKp4BFOP5uam1cx9T,Y,,8c757b7aa9268a94,8c757b7aa9268a94,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,2xvOKp4BfLc99Jc43qd8,5ATQKp4BFOP5uam1cx9T,Y,,c784cdfe77cd128b,c784cdfe77cd128b,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,3BvOKp4BfLc99Jc43qd8,5QTQKp4BFOP5uam1cx9T,Y,,83aaca72d43db584,83aaca72d43db584,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,3RvOKp4BfLc99Jc43qd8,5gTQKp4BFOP5uam1cx9T,Y,,9887247792e5ca8e,9887247792e5ca8e,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,3hvOKp4BfLc99Jc43qd8,5wTQKp4BFOP5uam1cx9T,Y,,e2aca4ce7df111e9,e2aca4ce7df111e9,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,3xvOKp4BfLc99Jc43qd8,6ATQKp4BFOP5uam1cx9T,Y,,2570bc12d7e4b64b,2570bc12d7e4b64b,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,14,14,4BvOKp4BfLc99Jc43qd8,6QTQKp4BFOP5uam1cx9T,Y,,df786b43c9f579c9,df786b43c9f579c9,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,4RvOKp4BfLc99Jc43qd8,6gTQKp4BFOP5uam1cx9T,Y,,2f826531bf41c1b7,2f826531bf41c1b7,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,16,16,4hvOKp4BfLc99Jc43qd8,6wTQKp4BFOP5uam1cx9T,Y,,d99cc7cf486e204b,d99cc7cf486e204b,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,17,17,4xvOKp4BfLc99Jc43qd8,7ATQKp4BFOP5uam1cx9T,Y,,30b330292d0f55c6,30b330292d0f55c6,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,18,18,5BvOKp4BfLc99Jc43qd8,7QTQKp4BFOP5uam1cx9T,Y,,3a9ef2476adacf85,3a9ef2476adacf85,6,6,0,bpt;bpt;ept;ept;ph;ph,bpt;bpt;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,19,19,5RvOKp4BfLc99Jc43qd8,7gTQKp4BFOP5uam1cx9T,Y,,a9678998895a436d,a9678998895a436d,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,20,20,5hvOKp4BfLc99Jc43qd8,7wTQKp4BFOP5uam1cx9T,Y,,4d0659524ee824ed,4d0659524ee824ed,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,21,21,5xvOKp4BfLc99Jc43qd8,8ATQKp4BFOP5uam1cx9T,Y,,b15b1535775e13ad,b15b1535775e13ad,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,22,22,6BvOKp4BfLc99Jc43qd8,8QTQKp4BFOP5uam1cx9T,Y,,8e50edfbcef92e2f,8e50edfbcef92e2f,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,23,23,6RvOKp4BfLc99Jc43qd8,8gTQKp4BFOP5uam1cx9T,Y,,93cdc8479018b271,93cdc8479018b271,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,24,24,6hvOKp4BfLc99Jc43qd8,8wTQKp4BFOP5uam1cx9T,Y,,3c51caaf62707642,3c51caaf62707642,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,25,25,6xvOKp4BfLc99Jc43qd8,9ATQKp4BFOP5uam1cx9T,Y,,3429e800eac19e54,3429e800eac19e54,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,26,26,7BvOKp4BfLc99Jc43qd8,9QTQKp4BFOP5uam1cx9T,Y,,24a28976380c5667,24a28976380c5667,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,27,27,7RvOKp4BfLc99Jc43qd8,9gTQKp4BFOP5uam1cx9T,Y,,41854608307f362e,41854608307f362e,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,28,28,7hvOKp4BfLc99Jc43qd8,9wTQKp4BFOP5uam1cx9T,Y,,98dd15717fcd6911,98dd15717fcd6911,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,29,29,7xvOKp4BfLc99Jc43qd8,-ATQKp4BFOP5uam1cx9T,Y,,d278767c5174d99a,d278767c5174d99a,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,30,30,8BvOKp4BfLc99Jc43qd8,-QTQKp4BFOP5uam1cx9T,Y,,f7c36330e19b5fda,f7c36330e19b5fda,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,31,31,8RvOKp4BfLc99Jc43qd8,-gTQKp4BFOP5uam1cx9T,Y,,acdfb9a2a3c31ab8,acdfb9a2a3c31ab8,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,32,32,8hvOKp4BfLc99Jc43qd8,-wTQKp4BFOP5uam1cx9T,Y,,aace6b2b04c15ebf,aace6b2b04c15ebf,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,alignment_text_fingerprint,high,,33,33,8xvOKp4BfLc99Jc43qd8,_ATQKp4BFOP5uam1cx9T,Y,,a287e797dab9c8c7,a287e797dab9c8c7,10,10,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
