comparison,axis,score,layer,note
step1:YiCAT->memoQ,A1_tu_count_retention,100.0,content,
step1:YiCAT->memoQ,A2_text_retention,100.0,content,
step1:YiCAT->memoQ,A2b_pure_text_retention,100.0,content,
step1:YiCAT->memoQ,A3_inline_tag_count_retention,,structure,
step1:YiCAT->memoQ,A3b_tag_introduction_ratio,,structure,Inverted diagnostic: lower is better; high value means tag expansion/introduction.
step1:YiCAT->memoQ,A4_inline_tag_type_retention,,structure,
step1:YiCAT->memoQ,A4b_inline_tag_type_multiset_retention,,structure,
step1:YiCAT->memoQ,A5_bpt_ept_pairing_retention,,structure,
step1:YiCAT->memoQ,A6_dom_nesting_retention,,structure,
step1:YiCAT->memoQ,A6b_dom_nesting_introduction_ratio,0.0,structure,Inverted diagnostic: lower is better; high value means artificial nesting introduced by the tool.
step1:YiCAT->memoQ,A7_attribute_key_retention,,structure,Position-sensitive within matched TUs.
step1:YiCAT->memoQ,A8_attribute_value_retention,,structure,Position-sensitive within matched TUs.
step1:YiCAT->memoQ,A9a_header_field_presence_retention,100.0,metadata,
step1:YiCAT->memoQ,A9b_header_value_retention,25.0,metadata,
step1:YiCAT->memoQ,A10a_prop_type_retention,,content,Per-instance soft score (headline radar axis). See A10a_strict for the all-or-nothing per-TU reading.
step1:YiCAT->memoQ,A10a_strict_prop_type_retention_per_tu,,content,Per-TU all-or-nothing diagnostic: a TU counts as retained only if every pre prop type is present in the post TU.
step1:YiCAT->memoQ,A10b_prop_value_retention,,content,
step1:YiCAT->memoQ,A11a_language_strict_retention,0.0,content,Byte/case-sensitive language comparison.
step1:YiCAT->memoQ,A11b_language_case_normalised_retention,99.5,content,Language comparison after lowercasing language tags.
step1:YiCAT->memoQ,A12_tuid_retention,100.0,content,
step2:memoQ->YiCAT,A1_tu_count_retention,100.0,content,
step2:memoQ->YiCAT,A2_text_retention,100.0,content,
step2:memoQ->YiCAT,A2b_pure_text_retention,100.0,content,
step2:memoQ->YiCAT,A3_inline_tag_count_retention,,structure,
step2:memoQ->YiCAT,A3b_tag_introduction_ratio,,structure,Inverted diagnostic: lower is better; high value means tag expansion/introduction.
step2:memoQ->YiCAT,A4_inline_tag_type_retention,,structure,
step2:memoQ->YiCAT,A4b_inline_tag_type_multiset_retention,,structure,
step2:memoQ->YiCAT,A5_bpt_ept_pairing_retention,,structure,
step2:memoQ->YiCAT,A6_dom_nesting_retention,,structure,
step2:memoQ->YiCAT,A6b_dom_nesting_introduction_ratio,0.0,structure,Inverted diagnostic: lower is better; high value means artificial nesting introduced by the tool.
step2:memoQ->YiCAT,A7_attribute_key_retention,,structure,Position-sensitive within matched TUs.
step2:memoQ->YiCAT,A8_attribute_value_retention,,structure,Position-sensitive within matched TUs.
step2:memoQ->YiCAT,A9a_header_field_presence_retention,66.67,metadata,
step2:memoQ->YiCAT,A9b_header_value_retention,16.67,metadata,
step2:memoQ->YiCAT,A10a_prop_type_retention,0.0,content,Per-instance soft score (headline radar axis). See A10a_strict for the all-or-nothing per-TU reading.
step2:memoQ->YiCAT,A10a_strict_prop_type_retention_per_tu,0.0,content,Per-TU all-or-nothing diagnostic: a TU counts as retained only if every pre prop type is present in the post TU.
step2:memoQ->YiCAT,A10b_prop_value_retention,0.0,content,
step2:memoQ->YiCAT,A11a_language_strict_retention,0.0,content,Byte/case-sensitive language comparison.
step2:memoQ->YiCAT,A11b_language_case_normalised_retention,99.5,content,Language comparison after lowercasing language tags.
step2:memoQ->YiCAT,A12_tuid_retention,0.0,content,
end_to_end:YiCAT->YiCAT,A1_tu_count_retention,100.0,content,
end_to_end:YiCAT->YiCAT,A2_text_retention,100.0,content,
end_to_end:YiCAT->YiCAT,A2b_pure_text_retention,100.0,content,
end_to_end:YiCAT->YiCAT,A3_inline_tag_count_retention,,structure,
end_to_end:YiCAT->YiCAT,A3b_tag_introduction_ratio,,structure,Inverted diagnostic: lower is better; high value means tag expansion/introduction.
end_to_end:YiCAT->YiCAT,A4_inline_tag_type_retention,,structure,
end_to_end:YiCAT->YiCAT,A4b_inline_tag_type_multiset_retention,,structure,
end_to_end:YiCAT->YiCAT,A5_bpt_ept_pairing_retention,,structure,
end_to_end:YiCAT->YiCAT,A6_dom_nesting_retention,,structure,
end_to_end:YiCAT->YiCAT,A6b_dom_nesting_introduction_ratio,0.0,structure,Inverted diagnostic: lower is better; high value means artificial nesting introduced by the tool.
end_to_end:YiCAT->YiCAT,A7_attribute_key_retention,,structure,Position-sensitive within matched TUs.
end_to_end:YiCAT->YiCAT,A8_attribute_value_retention,,structure,Position-sensitive within matched TUs.
end_to_end:YiCAT->YiCAT,A9a_header_field_presence_retention,100.0,metadata,
end_to_end:YiCAT->YiCAT,A9b_header_value_retention,100.0,metadata,
end_to_end:YiCAT->YiCAT,A10a_prop_type_retention,,content,Per-instance soft score (headline radar axis). See A10a_strict for the all-or-nothing per-TU reading.
end_to_end:YiCAT->YiCAT,A10a_strict_prop_type_retention_per_tu,,content,Per-TU all-or-nothing diagnostic: a TU counts as retained only if every pre prop type is present in the post TU.
end_to_end:YiCAT->YiCAT,A10b_prop_value_retention,,content,
end_to_end:YiCAT->YiCAT,A11a_language_strict_retention,100.0,content,Byte/case-sensitive language comparison.
end_to_end:YiCAT->YiCAT,A11b_language_case_normalised_retention,100.0,content,Language comparison after lowercasing language tags.
end_to_end:YiCAT->YiCAT,A12_tuid_retention,0.0,content,
