status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,,,,Y,f621e2e7147a4b4b,af8e1ac153c24bbd,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,,,,Y,67eb05fdadc5ec4a,d9009439ff03214c,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,,,,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,,,,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,,,,Y,99350a5d6f8561e5,1ada171ca12369b1,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,,,,Y,ce97efebf6bdf188,ceff37513c708793,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,,,,Y,12e4dbf037c2add0,63e4eb05e078bc7b,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,,,,Y,927d87bc4e2083d1,feaaa58866fa9a2e,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,,,,Y,e7d477961772efce,597504101cfc5cdb,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,,,,Y,50fe97e1430893dc,abbae577877e344f,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,,,,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,,,,Y,c2589bd32c6a3870,50293fcfe89a141f,4,4,0,bpt;bpt;ept;ept,bpt;bpt;ept;ept,en-ca;fr-ca,en-CA;fr-CA,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,x-ConfirmationLevel;x-LastUsedBy;x-Origin;x-OriginalFormat,False,False
