status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,alignment_text_fingerprint,high,,0,0,A-001,,Y,,af8e1ac153c24bbd,af8e1ac153c24bbd,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,1,1,A-002,,Y,,d9009439ff03214c,d9009439ff03214c,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,2,2,A-003,,Y,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,3,3,A-004,,Y,,aea1aa47987b6fda,aea1aa47987b6fda,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,4,4,A-005,,Y,,1ada171ca12369b1,1ada171ca12369b1,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,5,5,A-006,,Y,,ceff37513c708793,ceff37513c708793,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,6,6,A-007,,Y,,63e4eb05e078bc7b,63e4eb05e078bc7b,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,7,7,A-008,,Y,,feaaa58866fa9a2e,feaaa58866fa9a2e,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,8,8,A-009,,Y,,597504101cfc5cdb,597504101cfc5cdb,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,9,9,A-010,,Y,,abbae577877e344f,abbae577877e344f,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,10,10,A-011,,Y,,5afe173ecb223f78,5afe173ecb223f78,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,11,11,A-012,,Y,,50293fcfe89a141f,50293fcfe89a141f,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,12,12,A-013,,Y,,221618d395f73051,221618d395f73051,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
MATCHED,alignment_text_fingerprint,high,,13,13,A-014,,Y,,b01b053514a6e0bc,b01b053514a6e0bc,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-LastUsedBy;x-OriginalFormat,False,False
