status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,sequence_similarity,high,0.9512,0,0,0hvOKp4BfLc99Jc43qd8,C-001,Y,Y,e98e7c9ed3d1263f,47b71bfbefbad855,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9231,1,1,0xvOKp4BfLc99Jc43qd8,C-002,Y,Y,eddf075c4da63eb4,8f9cb0827a6f07e9,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9455,2,2,1BvOKp4BfLc99Jc43qd8,C-003,Y,Y,d3ab079ed1f3b6cc,649ec796826db33a,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9775,3,3,1RvOKp4BfLc99Jc43qd8,C-004,Y,Y,c96ff117eaf2b7ab,ae5ad1136c9773ac,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9565,4,4,1hvOKp4BfLc99Jc43qd8,C-005,Y,Y,a9c16c88cec28138,2c6e180ffa53f8a4,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9761,5,5,1xvOKp4BfLc99Jc43qd8,C-006,Y,Y,9b27c88ac6da1e93,21da47aa680f4e61,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9571,6,6,2BvOKp4BfLc99Jc43qd8,C-007,Y,Y,75b4989523bd7fba,4e70dfccc76a62ab,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9469,7,7,2RvOKp4BfLc99Jc43qd8,C-008,Y,Y,237ea772fece1844,bdf2194d334f78db,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9244,8,8,2hvOKp4BfLc99Jc43qd8,C-009,Y,Y,8c757b7aa9268a94,0d28f2574d400e80,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.951,9,9,2xvOKp4BfLc99Jc43qd8,C-010,Y,Y,c784cdfe77cd128b,8ca5402693292fdf,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9542,10,10,3BvOKp4BfLc99Jc43qd8,C-011,Y,Y,83aaca72d43db584,05a21edeb53da230,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9775,11,11,3RvOKp4BfLc99Jc43qd8,C-012,Y,Y,9887247792e5ca8e,c7b10013108e5e17,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9956,12,12,3hvOKp4BfLc99Jc43qd8,C-013,Y,Y,e2aca4ce7df111e9,670f6e5118c1a311,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9816,13,13,3xvOKp4BfLc99Jc43qd8,C-014,Y,Y,2570bc12d7e4b64b,9e50281bb3ca4b96,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9932,14,14,4BvOKp4BfLc99Jc43qd8,C-015,Y,Y,df786b43c9f579c9,9a78c7c109bbc6c4,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,alignment_text_fingerprint,high,,15,15,4RvOKp4BfLc99Jc43qd8,C-016,Y,Y,2f826531bf41c1b7,e7c7136cf8cbfa32,4,8,4,bpt;bpt;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9844,16,16,4hvOKp4BfLc99Jc43qd8,C-017,Y,Y,d99cc7cf486e204b,90bb60f7d42d7d5b,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9516,17,17,4xvOKp4BfLc99Jc43qd8,C-018,Y,Y,30b330292d0f55c6,e7e18da5e21d0311,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9902,18,18,5BvOKp4BfLc99Jc43qd8,C-019,Y,Y,3a9ef2476adacf85,5a6fb7b470bfad68,6,12,6,bpt;bpt;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9762,19,19,5RvOKp4BfLc99Jc43qd8,C-020,Y,Y,a9678998895a436d,e0d8931df2147676,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9808,20,20,5hvOKp4BfLc99Jc43qd8,C-021,Y,Y,4d0659524ee824ed,b3ed9a54fdfea09e,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9816,21,21,5xvOKp4BfLc99Jc43qd8,C-022,Y,Y,b15b1535775e13ad,2075fbd921d09f8f,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9167,22,22,6BvOKp4BfLc99Jc43qd8,C-023,Y,Y,8e50edfbcef92e2f,3158580703504a82,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,low,0.766,23,23,6RvOKp4BfLc99Jc43qd8,C-024,Y,Y,93cdc8479018b271,31835b5c995fa3bf,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9043,24,24,6hvOKp4BfLc99Jc43qd8,C-025,Y,Y,3c51caaf62707642,25d58f24f4ba913d,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.8952,25,25,6xvOKp4BfLc99Jc43qd8,C-026,Y,Y,3429e800eac19e54,69e573f0b9a6e808,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,alignment_text_fingerprint,high,,26,26,7BvOKp4BfLc99Jc43qd8,C-027,Y,Y,24a28976380c5667,4aa650e307d03ea8,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.942,27,27,7RvOKp4BfLc99Jc43qd8,C-028,Y,Y,41854608307f362e,c3c66ac5c2999e0a,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.875,28,28,7hvOKp4BfLc99Jc43qd8,C-029,Y,Y,98dd15717fcd6911,528e9e7e683c0104,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9847,29,29,7xvOKp4BfLc99Jc43qd8,C-030,Y,Y,d278767c5174d99a,8805eb6ea846c1fc,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,medium,0.9292,30,30,8BvOKp4BfLc99Jc43qd8,C-031,Y,Y,f7c36330e19b5fda,bf7a6be5afe02fcf,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9747,31,31,8RvOKp4BfLc99Jc43qd8,C-032,Y,Y,acdfb9a2a3c31ab8,adba379732aceb00,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.954,32,32,8hvOKp4BfLc99Jc43qd8,C-033,Y,Y,aace6b2b04c15ebf,3d9f2c02ed645ce2,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9505,33,33,8xvOKp4BfLc99Jc43qd8,C-034,Y,Y,a287e797dab9c8c7,1e2ad4ae1db0c97b,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9918,34,34,9BvOKp4BfLc99Jc43qd8,C-035,Y,Y,4c3f552738e9fcf2,6360ffb42d3c0cea,10,20,10,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,sequence_similarity,high,0.9784,35,35,9RvOKp4BfLc99Jc43qd8,C-036,Y,Y,c69d8dec12e2c583,7722bf7177d5b550,6,12,6,bpt;bpt;ept;ept;ph;ph,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
