status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,0,0,B-001,B-001,,,080f48a88c21c156,080f48a88c21c156,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,1,1,B-002,B-002,,,dfe165b49277fc9e,dfe165b49277fc9e,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,2,2,B-003,B-003,,,577c8e2ad07e5f86,577c8e2ad07e5f86,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,3,3,B-004,B-004,,,8ef6a0b7d99350ea,8ef6a0b7d99350ea,0,0,0,,,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,4,4,B-005,B-005,,,efe7f86a61bae788,efe7f86a61bae788,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,5,5,B-006,B-006,,,4c33b64ed093fee8,4c33b64ed093fee8,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,6,6,B-007,B-007,,,68e36b6ce8d9d388,68e36b6ce8d9d388,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,7,7,B-008,B-008,,,252d249a0f04f361,252d249a0f04f361,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,8,8,B-009,B-009,,,edaab19b67dfe919,edaab19b67dfe919,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,9,9,B-010,B-010,,,0b0462e33bd2c67a,0b0462e33bd2c67a,8,8,0,bpt;bpt;bpt;bpt;ept;ept;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-ca;fr-ca,en-ca;fr-ca,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
