status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,tuid,high,,0,0,C-001,C-001,,Y,dea77926650734ca,47b71bfbefbad855,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,1,1,C-002,C-002,,Y,ce43e6f5fba89293,8f9cb0827a6f07e9,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,2,2,C-003,C-003,,Y,4a19217080b7cbf7,649ec796826db33a,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,3,3,C-004,C-004,,Y,2011ec2364d81def,ae5ad1136c9773ac,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,4,4,C-005,C-005,,Y,46e71097839b4cad,2c6e180ffa53f8a4,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,5,5,C-006,C-006,,Y,e8ae7d8fbae9fe26,21da47aa680f4e61,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,6,6,C-007,C-007,,Y,1bd02e66dd01ae4f,4e70dfccc76a62ab,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,7,7,C-008,C-008,,Y,055587e68e066c60,bdf2194d334f78db,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,8,8,C-009,C-009,,Y,fb655c2be79f1d75,0d28f2574d400e80,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,9,9,C-010,C-010,,Y,95e812a70023f912,8ca5402693292fdf,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,10,10,C-011,C-011,,Y,70aa8dd2fb49c0d8,05a21edeb53da230,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,11,11,C-012,C-012,,Y,c24f000c3fcbccef,c7b10013108e5e17,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,12,12,C-013,C-013,,Y,a7693a19533b51da,670f6e5118c1a311,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,13,13,C-014,C-014,,Y,469451da0180fde2,9e50281bb3ca4b96,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,14,14,C-015,C-015,,Y,b1c9aa4a0706ab61,9a78c7c109bbc6c4,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,15,15,C-016,C-016,,Y,fa60385127d08061,e7c7136cf8cbfa32,4,8,4,bpt;bpt;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,16,16,C-017,C-017,,Y,40f6de61d5f5d016,90bb60f7d42d7d5b,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,17,17,C-018,C-018,,Y,9a0178a95f0390f0,e7e18da5e21d0311,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,18,18,C-019,C-019,,Y,c16199ab41b7b9be,5a6fb7b470bfad68,12,12,0,bpt;bpt;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,19,19,C-020,C-020,,Y,da8189f8e736ca9e,e0d8931df2147676,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,20,20,C-021,C-021,,Y,cb8bdc0af8cceeff,b3ed9a54fdfea09e,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,21,21,C-022,C-022,,Y,4f5e71510b2d9de2,2075fbd921d09f8f,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,22,22,C-023,C-023,,Y,bc4c3542d6af6c0f,3158580703504a82,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,23,23,C-024,C-024,,Y,fbbf66a62968bfdf,31835b5c995fa3bf,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,24,24,C-025,C-025,,Y,830554cb9cd11833,25d58f24f4ba913d,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,25,25,C-026,C-026,,Y,9e06b3964d9e5f92,69e573f0b9a6e808,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,26,26,C-027,C-027,,Y,37619438394c4af6,4aa650e307d03ea8,14,20,6,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,27,27,C-028,C-028,,Y,544cb76e7a519047,c3c66ac5c2999e0a,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,28,28,C-029,C-029,,Y,a6b3cc0bccc0a702,528e9e7e683c0104,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,29,29,C-030,C-030,,Y,2be5f2498ae053ba,8805eb6ea846c1fc,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,30,30,C-031,C-031,,Y,0777e3a26edcedfd,bf7a6be5afe02fcf,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,31,31,C-032,C-032,,Y,ba9929f616e6ae26,adba379732aceb00,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,32,32,C-033,C-033,,Y,f88ea7a79eb27530,3d9f2c02ed645ce2,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,33,33,C-034,C-034,,Y,c61e738d853d01e8,1e2ad4ae1db0c97b,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,34,34,C-035,C-035,,Y,261bf5133652683c,6360ffb42d3c0cea,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,35,35,C-036,C-036,,Y,9a5ea10b86f0f0d1,7722bf7177d5b550,12,12,0,bpt;bpt;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,36,36,C-037,C-037,,Y,aeac4d5320eede7d,6a98f3d247c0a0ba,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,37,37,C-038,C-038,,Y,74870e8e0722352b,363ae2dbcf160b4d,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,38,38,C-039,C-039,,Y,54f342350303701c,6d9f39c8e5635823,14,16,2,bpt;bpt;bpt;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,39,39,C-040,C-040,,Y,4dc684b0532f7a14,cffb445dd67e290c,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,40,40,C-041,C-041,,Y,b41840a9501c93c8,07ad953607d68c3c,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,41,41,C-042,C-042,,Y,4b922d9bb7bd1aa0,cc7501667c82a57b,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,42,42,C-043,C-043,,Y,dfb19a7fce551d42,75fef97e2f17a626,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,43,43,C-044,C-044,,Y,11559cd2145afaf8,c2336e47ff4d5442,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,44,44,C-045,C-045,,Y,4ad62124cf9f0d1e,23d076284831d8ce,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,45,45,C-046,C-046,,Y,cd59272617224bf9,a132f3c0d7761921,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,46,46,C-047,C-047,,Y,84a674f5734a4763,bc88edd461d3f595,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,47,47,C-048,C-048,,Y,cc0798663dd399d8,1d1068709447b6f3,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,48,48,C-049,C-049,,Y,587c1971b79ae568,7c08acde51eb1243,4,8,4,bpt;bpt;ept;ept,bpt;bpt;bpt;bpt;ept;ept;ept;ept,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,False,False
MATCHED,tuid,high,,50,50,C-051,C-051,,Y,8776deda40d45145,ef6862018b424e36,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,51,51,C-052,C-052,,Y,5f19611938052e79,df4b6e41b324dfea,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,52,52,C-053,C-053,,Y,8d3c20b05df1db8b,094b3b4fd4f984f2,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
MATCHED,tuid,high,,53,53,C-054,C-054,,Y,702bc56425965288,ac165da1fd0a9a6d,16,20,4,bpt;bpt;bpt;bpt;ept;ept;ept;ept;hi;hi;it;it;ph;ph;sub;sub,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;it;it;ph;ph,en-CA;fr-CA,en-ca;fr-ca,x-source;x-tag-complexity;x-tmx-group,aligned;client;corrected;domain;project;subject;x-source;x-tag-complexity;x-tmx-group,True,False
