status,match_method,match_confidence,match_score,pre_index,post_index,pre_tuid,post_tuid,tuid_changed,text_changed,pre_text_hash,post_text_hash,pre_tag_count,post_tag_count,tag_count_delta,pre_tag_types,post_tag_types,pre_langs,post_langs,prop_types_pre,prop_types_post,has_dom_nesting_pre,has_dom_nesting_post
MATCHED,sequence_similarity,high,0.9512,0,0,0hvOKp4BfLc99Jc43qd8,YI2eN54BXb1gYwgPUE8s,Y,Y,e98e7c9ed3d1263f,a71284f595ca949b,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,medium,0.9231,1,1,0xvOKp4BfLc99Jc43qd8,YY2eN54BXb1gYwgPUE8s,Y,Y,eddf075c4da63eb4,7be03cd1911537df,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,medium,0.9268,2,2,1BvOKp4BfLc99Jc43qd8,Yo2eN54BXb1gYwgPUE8s,Y,Y,d3ab079ed1f3b6cc,305ec54c29e63d12,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,high,0.9775,3,3,1RvOKp4BfLc99Jc43qd8,Y42eN54BXb1gYwgPUE8s,Y,Y,c96ff117eaf2b7ab,4b8d5682353bad8f,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,high,0.9565,4,4,1hvOKp4BfLc99Jc43qd8,ZI2eN54BXb1gYwgPUE8s,Y,Y,a9c16c88cec28138,b8e95469106faf75,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,high,0.9761,5,5,1xvOKp4BfLc99Jc43qd8,ZY2eN54BXb1gYwgPUE8s,Y,Y,9b27c88ac6da1e93,90f90b3621adab13,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,high,0.9571,6,6,2BvOKp4BfLc99Jc43qd8,Zo2eN54BXb1gYwgPUE8s,Y,Y,75b4989523bd7fba,ff331a0bcf8e1e1b,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,medium,0.9469,7,7,2RvOKp4BfLc99Jc43qd8,Z42eN54BXb1gYwgPUE8s,Y,Y,237ea772fece1844,45955d13c677dec1,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,medium,0.9244,8,8,2hvOKp4BfLc99Jc43qd8,aI2eN54BXb1gYwgPUE8s,Y,Y,8c757b7aa9268a94,7fff887fd726c47b,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
MATCHED,sequence_similarity,high,0.951,9,9,2xvOKp4BfLc99Jc43qd8,aY2eN54BXb1gYwgPUE8s,Y,Y,c784cdfe77cd128b,c23394960880daf4,10,18,8,bpt;bpt;bpt;bpt;ept;ept;ept;ept;ph;ph,bpt;bpt;bpt;bpt;bpt;bpt;bpt;bpt;ept;ept;ept;ept;ept;ept;ept;ept;ph;ph,en-CA;fr-CA,en-CA;fr-CA,,,False,False
